song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Take Me To Church,Hozier,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945
Cooler Than Me - Single Mix,"Mike Posner, Gigamesh",0.768,0.82,7,-4.63,0,0.0475,0.179,0.0,0.704,0.625,129.969
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558
Pompeii,Bastille,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",0.778,0.824,10,-5.892,0,0.0712,0.284,0.0,0.405,0.756,100.024
Hall of Fame (feat. will.i.am),"The Script, will.i.am",0.421,0.873,10,-4.343,1,0.0565,0.0653,0.0,0.123,0.63,84.803
Back Where I Belong (feat. Avicii),"Otto Knows, Avicii",0.497,0.865,0,-3.19,1,0.0644,0.0306,0.0679,0.443,0.595,125.96
The Heart Wants What It Wants,Selena Gomez,0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066
Dynamite,Taio Cruz,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975
Bumpy Ride,Mohombi,0.709,0.854,0,-4.447,0,0.0399,0.047,0.0,0.0724,0.826,105.074
Danza Kuduro (feat. Don Omar),"Lucenzo, Don Omar",0.706,0.89,0,-6.575,1,0.0847,0.0855,0.0,0.0465,0.896,130.051
Syypää sun hymyyn (feat. Yasmine Yamajako),"Cheek, Yasmine Yamajako",0.472,0.815,9,-4.002,0,0.319,0.171,0.0,0.265,0.81,98.017
Whistle,Flo Rida,0.754,0.933,0,-5.786,1,0.0448,0.0199,0.0,0.297,0.75,103.992
Girlfriend,Avril Lavigne,0.56,0.959,7,-2.433,1,0.102,0.000738,0.000206,0.209,0.67,163.983
Baby,"Justin Bieber, Ludacris",0.463,0.854,8,-5.386,1,0.32,0.0428,0.0,0.0922,0.567,65.038
I Cry,Flo Rida,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035
Coconut Tree,"Mohombi, Nicole Scherzinger",0.687,0.855,7,-5.341,0,0.0416,0.0486,0.0,0.233,0.647,130.029
One Less Lonely Girl,Justin Bieber,0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938
Romeo ja Julia (feat. Sophie),"Pikku G, Sophie",0.695,0.628,11,-6.498,0,0.0442,0.0539,0.0,0.32,0.529,144.114
Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",0.608,0.828,2,-3.597,1,0.051,0.125,0.0,0.113,0.484,128.919
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078
She Wolf (Falling to Pieces) [feat. Sia],"David Guetta, Sia",0.491,0.857,7,-2.634,1,0.0656,0.0834,7.57e-06,0.344,0.395,129.971
Radioactive,Imagine Dragons,0.473,0.777,9,-3.698,1,0.059,0.119,7.87e-05,0.671,0.21,136.249
Whistle,Flo Rida,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976
I Need Your Love (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989
Timber (feat. Ke$ha),"Pitbull, Kesha",0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992
Scream & Shout,"will.i.am, Britney Spears",0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033
Wake Me Up - Radio Edit,Avicii,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Wanz",0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992
Play Hard (feat. Ne-Yo & Akon),David Guetta,0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072
Superheroes,The Script,0.491,0.885,3,-4.121,1,0.0395,0.00219,0.0,0.0741,0.641,166.992
I Cry,Flo Rida,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035
Counting Stars,OneRepublic,0.663,0.705,1,-4.972,0,0.0385,0.0654,0.0,0.117,0.477,122.014
Gangnam Style (강남스타일),PSY,0.727,0.938,11,-2.872,0,0.288,0.00432,0.0,0.0911,0.757,132.077
Feel This Moment (feat. Christina Aguilera),"Pitbull, Christina Aguilera",0.668,0.758,7,-3.589,1,0.158,0.0338,0.0,0.204,0.531,135.958
Capsize,"FRENSHIP, Emily Warren",0.681,0.708,5,-6.019,0,0.0304,0.042,0.14,0.682,0.356,92.993
Magical,"Tungevaag, Raaban",0.504,0.912,1,-2.867,1,0.259,0.199,0.0,0.105,0.248,189.983
Bleeding Love,Leona Lewis,0.635,0.647,5,-5.865,1,0.0351,0.192,0.0,0.154,0.203,104.054
Drop That Low (When I Dip),Tujamo,0.579,0.896,5,-4.132,0,0.373,0.00945,0.836,0.121,0.103,125.672
Perfect Strangers,"Jonas Blue, JP Cooper",0.742,0.819,1,-5.307,1,0.0487,0.372,0.0,0.277,0.709,117.986
Thinking About You,Axwell /\ Ingrosso,0.69,0.811,8,-5.475,1,0.058,0.044,0.0,0.205,0.521,122.001
Please Don't Go,Joel Adams,0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264
Lions in the Wild,"Martin Garrix, Third Party",0.504,0.847,7,-6.81,0,0.0442,0.00434,0.0,0.816,0.28,127.854
Never Be Like You,"Flume, kai",0.494,0.559,0,-5.445,1,0.0565,0.436,0.0,0.164,0.264,119.247
Treat You Better,Shawn Mendes,0.45,0.825,10,-4.066,0,0.372,0.121,0.0,0.109,0.742,82.823
