song,artist,cluster
Take Me To Church,Hozier,3
Cooler Than Me - Single Mix,"Mike Posner, Gigamesh",0
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",3
Pompeii,Bastille,1
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",0
Hall of Fame (feat. will.i.am),"The Script, will.i.am",1
Back Where I Belong (feat. Avicii),"Otto Knows, Avicii",1
The Heart Wants What It Wants,Selena Gomez,0
Dynamite,Taio Cruz,1
Bumpy Ride,Mohombi,0
Danza Kuduro (feat. Don Omar),"Lucenzo, Don Omar",1
Syypää sun hymyyn (feat. Yasmine Yamajako),"Cheek, Yasmine Yamajako",0
Whistle,Flo Rida,1
Girlfriend,Avril Lavigne,1
Baby,"Justin Bieber, Ludacris",4
I Cry,Flo Rida,0
Coconut Tree,"Mohombi, Nicole Scherzinger",0
One Less Lonely Girl,Justin Bieber,1
Romeo ja Julia (feat. Sophie),"Pikku G, Sophie",0
Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",1
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,1
She Wolf (Falling to Pieces) [feat. Sia],"David Guetta, Sia",1
Radioactive,Imagine Dragons,1
Whistle,Flo Rida,1
I Need Your Love (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",1
Timber (feat. Ke$ha),"Pitbull, Kesha",1
Scream & Shout,"will.i.am, Britney Spears",1
Wake Me Up - Radio Edit,Avicii,1
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Wanz",4
Play Hard (feat. Ne-Yo & Akon),David Guetta,0
Superheroes,The Script,1
I Cry,Flo Rida,0
Counting Stars,OneRepublic,0
Gangnam Style (강남스타일),PSY,0
Feel This Moment (feat. Christina Aguilera),"Pitbull, Christina Aguilera",1
Capsize,"FRENSHIP, Emily Warren",0
Magical,"Tungevaag, Raaban",1
Bleeding Love,Leona Lewis,1
Drop That Low (When I Dip),Tujamo,2
Perfect Strangers,"Jonas Blue, JP Cooper",1
Thinking About You,Axwell /\ Ingrosso,1
Please Don't Go,Joel Adams,0
Lions in the Wild,"Martin Garrix, Third Party",0
Never Be Like You,"Flume, kai",3
Treat You Better,Shawn Mendes,4
Heathens,Twenty One Pilots,3
Send My Love (To Your New Lover),Adele,0
When We Were Young,Adele,3
Someone Like You,Adele,3
Set Fire to the Rain,Adele,0
Apologize,OneRepublic,1
Onnelliseksi,Juju,1
I See Fire,Ed Sheeran,3
Chasing Cars,Snow Patrol,1
Say Something,"A Great Big World, Christina Aguilera",3
Go Hard or Go Home,"Wiz Khalifa, Iggy Azalea",0
Läikkyy,Arttu Lindeman,0
1972,Anssi Kela,1
Toxic,Britney Spears,0
Älä herätä mua unesta,Mikael Gabriel,1
Spaceman,Aste,0
Only One,Aste,1
Come & Get It,Selena Gomez,0
Wherever I Go,OneRepublic,0
Heatwave (feat. Akon),"Robin Schulz, Akon",0
Hubba Bubba,"Teflon Brothers, Ressu Redford, Heavyweight",1
I'm In Control,"AlunaGeorge, Popcaan",0
Arcade - Radio Edit,"Dimitri Vegas & Like Mike, W&W",2
She Doesn't Mind,Sean Paul,0
Satellites - Radio Edit,"Bobby Burns, Hannah Robinson",1
Calling (Lose My Mind) - Radio Edit,"Sebastian Ingrosso, Alesso, Ryan Tedder",0
I Just Had Sex,"The Lonely Island, Akon",1
Angels Unite (Radio Edit),Scarlet,1
Gypsy Drop - Radio Edit,"Filip Jenven, Jonas Vogel",2
Bigroom Blitz - Radio Mix,"Scooter, Wiz Khalifa",1
Satisfied (feat. VASSY) - Original Mix,"Showtek, VASSY",1
Gold Skies - Original Mix,"Sander van Doorn, Martin Garrix, DVBBS, Aleesia",0
Love Louder - Style Of Eye Remix,"John Martin, Style of Eye",1
Forbidden Voices,Martin Garrix,0
Salsa Tequila,Anders Nilsen,1
All I Ever Wanted - Radio Edit,Basshunter,1
Memories (feat. Kid Cudi),"David Guetta, Kid Cudi",1
Trumpsta (Djuro Remix) [feat. Treyy G],"Contiez, Treyy G, Djuro",4
Moonlight Shadow,ItaloBrothers,1
Colours Of The Rainbow,"ItaloBrothers, Tune Up!",0
Honey,"Evelina, Mikael Gabriel",0
Pämppää,"Teflon Brothers, Sahamies",1
Viva La Vida,Coldplay,0
If I Lose Myself,OneRepublic,1
In2,WSTRN,0
Somebody to Die For,Hurts,1
Jai Ho! (You Are My Destiny),"A.R. Rahman, The Pussycat Dolls, Nicole Scherzinger",1
Don't Hold Your Breath,Nicole Scherzinger,0
When I Grow Up,The Pussycat Dolls,0
I Gotta Feeling,Black Eyed Peas,1
Halo,Beyoncé,0
Cry Me a River,Justin Timberlake,3
"You're Gonna Go Far, Kid",The Offspring,0
So What,P!nk,1
"Whenever, Wherever",Shakira,0
Bleeding Love,Leona Lewis,1
Milkshake,Kelis,1
Stronger (What Doesn't Kill You),Kelly Clarkson,1
Say OK,Vanessa Hudgens,1
Lovesick,Emily Osment,0
Wherever I Go,Hannah Montana,1
I'll Always Remember You,Hannah Montana,1
A Year Without Rain,Selena Gomez & The Scene,0
Beauty And A Beat,"Justin Bieber, Nicki Minaj",1
International Love (feat. Chris Brown),"Pitbull, Chris Brown",0
Clouds (feat. A.J. McLean),"Redrama, AJ McLean",1
Turn Me On (feat. Nicki Minaj),"David Guetta, Nicki Minaj",1
Sweat (Snoop Dogg vs. David Guetta) - David Guetta Remix,"Snoop Dogg, David Guetta",1
Märkää,Petri Nygård,1
Selvä päivä - feat. Lord Est,Petri Nygård,0
Good Ol' Days,The Script,1
Home,"Dzeko & Torres, Alex Joseph",1
Supersankari,Laura Närhi,1
Don't Look Down (feat. Usher),"Martin Garrix, Usher",1
Overtime - Vicetone Remix,"Cash Cash, Vicetone",0
Unbreakable,Benjamin,1
Moon Boots,The Script,1
If You Could See Me Now,The Script,1
Everytime - Hi-Bias Radio Remix,"Britney Spears, Nick ""Fierce"" Fiorucci, Taras",0
Gimme More,Britney Spears,1
E.T.,"Katy Perry, Kanye West",1
We R Who We R,Kesha,1
The Man Who Never Lied,Maroon 5,1
Che Guevara,Happoradio,0
Maps,Maroon 5,0
Troublemaker (feat. Flo Rida),"Olly Murs, Flo Rida",0
Written in the Stars (feat. Eric Turner),"Tinie Tempah, Eric Turner",1
Bring Me To Life,Evanescence,0
Hung Up,Madonna,0
It's My Life,Bon Jovi,0
I Kissed A Girl,Katy Perry,1
About You Now,Sugababes,0
Birds Fly (feat. Mr. Probz),"Hardwell, Mr. Probz",0
Yellow House,Softengine,0
Platinaa,Janne Ordén,0
Rude,MAGIC!,1
Maradona (kesä ´86),Teflon Brothers,0
Maps,Maroon 5,0
Perjantai 13.,Nikke Ankara,0
S&M Remix,"Rihanna, Britney Spears",1
Mr. Saxobeat - Radio Edit,Alexandra Stan,0
How to Be a Heartbreaker,MARINA,0
We Found Love,"Rihanna, Calvin Harris",1
Heartbeat,"Enrique Iglesias, Nicole Scherzinger",1
I Like It,"Enrique Iglesias, Pitbull",0
She Looks So Perfect,5 Seconds of Summer,0
Catch My Breath,Kelly Clarkson,1
DUELE EL CORAZON (feat. Wisin),"Enrique Iglesias, Wisin",0
Into You,Ariana Grande,1
Middle,"DJ Snake, Bipolar Sunshine",1
You Know You Like It,"DJ Snake, AlunaGeorge",0
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake",0
"Boom (feat. MOTi, Ty Dolla $ign, Wizkid & Kranium)","Major Lazer, MOTi, Ty Dolla $ign, WizKid, Kranium",0
7/11,Beyoncé,0
On My Mind,Ellie Goulding,1
