song,artist
mood,24kgoldn featuring iann dior
therefore i am,billie eilish
positions,ariana grande
i hope,gabby barrett featuring charlie puth
laugh now cry later,drake featuring lil durk
holy,justin bieber featuring chance the rapper
blinding lights,the weeknd
lemonade,internet money & gunna featuring don toliver & nav
dakiti,bad bunny & jhay cortez
for the night,pop smoke featuring lil baby & dababy
savage love (laxed - siren beat),jawsh 685 x jason derulo
go crazy,chris brown & young thug
kings & queens,ava max
dynamite,bts
more than my hometown,morgan wallen
wap,cardi b featuring megan thee stallion
rockstar,dababy featuring roddy ricch
before you go,lewis capaldi
be like that,kane brown with swae lee & khalid
levitating,dua lipa featuring dababy
watermelon sugar,harry styles
hawai,maluma & the weeknd
ily,surf mesa featuring emilee
bang!,ajr
starting over,chris stapleton
lonely,justin bieber & benny blanco
34+35,ariana grande
said sum,moneybagg yo
all i want for christmas is you,mariah carey
whats poppin,"jack harlow featuring dababy, tory lanez & lil wayne"
drankin n smokin,future & lil uzi vert
what you know bout love,pop smoke
one of them girls,lee brice
one beer,hardy featuring lauren alaina & devin dawson
love you like i used to,russell dickerson
pretty heart,parker mccollum
holiday,lil nas x
happy anywhere,blake shelton featuring gwen stefani
better together,luke combs
forever after all,luke combs
got what i got,jason aldean
"big, big plans",chris lane
rockin' around the christmas tree,brenda lee
wonder,shawn mendes
pov,ariana grande
stripes like burberry,future & lil uzi vert
come & go,juice wrld x marshmello
diamonds,sam smith
adore you,harry styles
that's it,future & lil uzi vert
you broke me first.,tate mcrae
i should probably go to bed,dan + shay
the woo,pop smoke featuring 50 cent & roddy ricch
real baby pluto,future & lil uzi vert
ain't always the cowboy,jon pardi
mr. right now,21 savage & metro boomin featuring drake
iris,phoebe & maggie
franchise,travis scott featuring young thug & m.i.a.
my ex's best friend,machine gun kelly x blackbear
took her to the o,king von
mood swings,pop smoke featuring lil tjay
b.s.,jhene aiko featuring h.e.r.
7 summers,morgan wallen
marni on me,future & lil uzi vert
midnight sky,miley cyrus
tyler herro,jack harlow
million dollar play,future & lil uzi vert
sleeping on the floor,future & lil uzi vert
throat baby (go baby),brs kash
don't stop,megan thee stallion featuring young thug
good time,niko moon
hole in the bottle,kelsea ballerini
u 2 luv,ne-yo & jeremih
blind,dababy featuring young thug
so done,the kid laroi
hit different,sza featuring ty dolla $ign
golden,harry styles
champagne night,lady a
some girls,jameson rodgers
martin & gina,polo g
whoopty,cj
everywhere but on,matt stell
popstar,dj khaled featuring drake
wishing well,juice wrld
what's your country song,thomas rhett
plastic,future & lil uzi vert
put your records on,ritt momney
heather,conan gray
24,money man featuring lil baby
happy does,kenny chesney
runnin,21 savage & metro boomin
relacion,"sech, daddy yankee & j balvin featuring rosalia & farruko"
beers and sunshine,darius rucker
take you dancing,jason derulo
la toxica,farruko
tap in,saweetie
rockstar chainz,future
kacey talk,youngboy never broke again
practice,dababy
bought a bad bitch,future & lil uzi vert
